Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Variant Image,Variant Weight Unit,Variant Harmonized System Code,Variant Country of Origin
"kroma-mirror-chrome-system","Kroma Edge Self-Organizing Mirror Chrome System","<p>The world's first self-organizing 2K optical coating that delivers a flawless, non-clouding mirror finish across any industry. Chemically bonds and aligns metallic particles to lock in true mirror reflection over plastics, wood, 3D resin, aluminum, and steel without requiring a gloss black groundcoat. Mix ratio 5:5:2:2 (Binder : Reducer : Hardener : Mirror Seeds).</p>","Kroma Edge","Mirror Chrome Systems","Coast Europe, Kroma Edge, Mirror Chrome Systems","TRUE","Size / Pack","Small Kit (140g / 5 oz)","","","KE-MIRROR-140G","500","shopify","50","deny","manual","260.20","","TRUE","TRUE","","Images/Promo Images/Cleaned Skull Image.jpeg","1","","g","3208.90.19","JP"
"kroma-mirror-chrome-system","Kroma Edge Self-Organizing Mirror Chrome System","","Kroma Edge","Mirror Chrome Systems","Coast Europe, Kroma Edge, Mirror Chrome Systems","TRUE","Size / Pack","Medium Kit (420g / 15 oz)","","","KE-MIRROR-420G","500","shopify","50","deny","manual","709.63","","TRUE","TRUE","","","","","g","3208.90.19","JP"
"kroma-mirror-chrome-system","Kroma Edge Self-Organizing Mirror Chrome System","","Kroma Edge","Mirror Chrome Systems","Coast Europe, Kroma Edge, Mirror Chrome Systems","TRUE","Size / Pack","Large Kit (1260g / 45 oz)","","","KE-MIRROR-1260G","500","shopify","50","deny","manual","1596.67","","TRUE","TRUE","","","","","g","3208.90.19","JP"
"kroma-mirror-chrome-system","Kroma Edge Self-Organizing Mirror Chrome System","","Kroma Edge","Mirror Chrome Systems","Coast Europe, Kroma Edge, Mirror Chrome Systems","TRUE","Size / Pack","Extra Large Kit (2520g / 90 oz)","","","KE-MIRROR-2520G","500","shopify","50","deny","manual","2874.00","","TRUE","TRUE","","","","","g","3208.90.19","JP"
"kroma-mirror-chrome-system","Kroma Edge Self-Organizing Mirror Chrome System","","Kroma Edge","Mirror Chrome Systems","Coast Europe, Kroma Edge, Mirror Chrome Systems","TRUE","Size / Pack","Ultra Large Kit (10080g / 360 oz)","","","KE-MIRROR-10080G","500","shopify","50","deny","manual","10127.04","","TRUE","TRUE","","","","","g","3208.90.19","JP"
"kroma-dedicated-topcoat-clear","Kroma Edge Dedicated Topcoat Clear System","<p>Specifically engineered topcoat clear for Kroma Edge Chrome systems with ultra-low turbidity and maximum optical clarity. Formulated to prevent clouding, lifting, or solvent reactivation of the aligned metallic mirror layer. Mix ratio 10:1 (Clear Base : Hardener) + 70-100% Dedicated Thinner.</p>","Kroma Edge","Dedicated Clearcoats","Coast Europe, Kroma Edge, Dedicated Clearcoats","TRUE","Size / Pack","Topcoat Clear 180 SET (1.5 m²)","","","KE-TOPCOAT-CLR-1","500","shopify","50","deny","manual","62.09","","TRUE","TRUE","","Images/kromaedge/kroma-silver-surfer-front.jpg","1","","g","3208.10.90","JP"
"kroma-dedicated-topcoat-clear","Kroma Edge Dedicated Topcoat Clear System","","Kroma Edge","Dedicated Clearcoats","Coast Europe, Kroma Edge, Dedicated Clearcoats","TRUE","Size / Pack","Topcoat Clear 900 SET (6.0 m²)","","","KE-TOPCOAT-CLR-2","500","shopify","50","deny","manual","274.98","","TRUE","TRUE","","","","","g","3208.10.90","JP"
"kroma-dedicated-topcoat-clear","Kroma Edge Dedicated Topcoat Clear System","","Kroma Edge","Dedicated Clearcoats","Coast Europe, Kroma Edge, Dedicated Clearcoats","TRUE","Size / Pack","Topcoat Clear 3600 SET (24.0 m²)","","","KE-TOPCOAT-CLR-3","500","shopify","50","deny","manual","995.00","","TRUE","TRUE","","","","","g","3208.10.90","JP"
"fk-2629","Flake King Pro Series Kit","<p>The Flake King Pro Series Kit is the ultimate dry metal flake solution for the professional custom painter. Housed in a rugged aluminium flight case, the kit includes all components required to assemble the Flake King 500 airbrush attachment, 550 mini gun, and 1000 full-size spray gun. Machined from aircraft-grade billet aluminium with red anodising.</p>","Flake King","Dry Metal Flake Guns","Coast Europe, Flake King, Dry Metal Flake Guns","TRUE","Title","Default Title","","","FOMPRO","500","shopify","50","deny","manual","208.33","","TRUE","TRUE","5060733580007","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/ProSeriesKit2.jpg?fit=600%2C600&ssl=1","1","","g","8424.20.00","GB"
"fk-2610","Show Krome Metal Flake","<p>Show Krome Metal Flake. Available in .002″, .004″, .008″, .015″, .025″ & .040″<br/>If you are looking for pure commercial/industrial grade Glitters or Metal Flake that are specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine. All of which require metal flake glitter with outstanding physical and chemical properties…<br/>Then you have come to the right company!<br/>Flake King Polyester Flake was specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine and many more, all of which require metal flake glitter with outstanding physical and chemical properties.<br/>A full chart of colours can be found in the images.<br/>To learn more about the following products – guns, flake & surface binders please watch the video by clicking this link – Product Video</p>","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","1000g (1 Kilo Trade Pack)","","","show-krome-metal-flake-1-1","500","shopify","50","deny","manual","314.40","","TRUE","TRUE","","assets/images/flakes/fk-2610.jpg","1","","g","3926.90.97","GB"
"fk-2610","Show Krome Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","100g Jar (Refill / Trade)","","","show-krome-metal-flake-1-2","500","shopify","50","deny","manual","33.63","","TRUE","TRUE","","","","","g","3926.90.97","GB"
"fk-2610","Show Krome Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","30g Jar (Gun Mount)","","","show-krome-metal-flake-1-3","500","shopify","50","deny","manual","11.08","","TRUE","TRUE","","","","","g","3926.90.97","GB"
"fk-2603","Flake King 500 – Dry Metal Flake Airbrush Attachment","<p>The Flake King 500 transforms your existing airbrush into a professional dry flake gun. Ideal for small-to-medium custom projects including helmets, guitars, skateboards, and model kits. Powered entirely by your airbrush compressor at 10–15 PSI, it sprays dry flake into wet binder with zero contamination to your airbrush needle or nozzle.</p>","Flake King","Dry Metal Flake Guns","Coast Europe, Flake King, Dry Metal Flake Guns","TRUE","Title","Default Title","","","FOM500","500","shopify","50","deny","manual","83.33","","TRUE","TRUE","5060733580076","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FOM5001.png?fit=600%2C600&ssl=1","1","","g","8424.20.00","GB"
"fk-2602","Flake King 1000 Dry Metal Flake Gun","<p>The Flake King 1000 is the industry-standard dry metal flake applicator gun used by professional custom painters worldwide. Engineered to spray dry flake directly into wet intercoat clear, it eliminates fluid gun contamination, saves up to 70% in clearcoat, and prevents clumping. Features patented Venturi agitation, an in-line metering valve, and 3 color-coded nozzles for total application control.</p>","Flake King","Dry Metal Flake Guns","Coast Europe, Flake King, Dry Metal Flake Guns","TRUE","Title","Default Title","","","FOM1000","500","shopify","50","deny","manual","108.33","","TRUE","TRUE","5060733580014","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FOM10001.png?fit=600%2C600&ssl=1","1","","g","8424.20.00","GB"
"fk-2600","FOM 1000/1050 50g Jar & Lid","<p>Replacement 50g Jar & Lid for the FOM 1000 & 1050 Gun</p>","Flake King","Flake King Gun Accessories","Coast Europe, Flake King, Flake King Gun Accessories","TRUE","Title","Default Title","","","FOM50gJarLid","500","shopify","50","deny","manual","1.24","","TRUE","TRUE","5060733583169","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/07/FOM1000-50gJarLid.jpg?fit=1200%2C1200&ssl=1","1","","g","8424.90.00","GB"
"fk-2598","FOM 500/550 Spare 30g Jar & Lid","<p>Replacement plastic 30g jar to fit the FOM500 Airbrush & FOM550 Mini Gun</p>","Flake King","Flake King Gun Accessories","Coast Europe, Flake King, Flake King Gun Accessories","TRUE","Title","Default Title","","","FOM500JL","500","shopify","50","deny","manual","1.10","","TRUE","TRUE","5060733580137","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/07/FOM500_550JarLid-scaled.jpg?fit=2560%2C2560&ssl=1","1","","g","8424.90.00","GB"
"fk-2542","Flake O Matic 1000","<p>The Flake o Matic has grown up and has now been superseded by the Flake King 1000<br/>Please click here to see the new gun.<br/>The Flake O Matic 1000 was designed to be an efficient way of applying metal flake.</p>","Flake King","Dry Metal Flake Guns","Coast Europe, Flake King, Dry Metal Flake Guns","TRUE","Title","Default Title","","","FOM1000","500","shopify","50","deny","manual","108.33","","TRUE","TRUE","5060733580014","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FoMDeluxe2.png?fit=500%2C343&ssl=1","1","","g","8424.20.00","GB"
